1	188.261	251.047	329.457	376.522	502.094	658.914	419.684
2	177.076	236.131	309.883	354.152	472.263	619.765	305.916
3	245.663	327.592	429.91	491.326	655.185	859.82	316.604
4	307.14	409.572	537.495	614.28	819.144	1074.99	313.516
5	270.857	361.188	473.999	541.713	722.377	947.998	272.427
6	166.551	222.096	291.464	333.102	444.193	582.929	228.012
7	314.211	419.002	549.87	628.422	838.004	1099.74	287.152
8	375.716	501.019	657.504	751.433	1002.04	1315.01	331.33
9	255.245	340.37	446.678	510.489	680.74	893.357	299.266
10	291.239	388.369	509.669	582.478	776.737	1019.34	265.064
11	192.898	257.23	337.571	385.795	514.46	675.142	249.388
12	168.423	224.593	294.741	336.847	449.186	589.482	301.878
