1	-3589.89	-1023.29	2220.78	4175.04	9408.41	15976.5
2	-824.061	1620.33	4693.31	6544.96	11493.2	17676.7
3	1625.02	5014.52	9279.23	11847.6	18710.7	27291.4
4	3881.45	8141.94	13488.8	16705.6	25292.8	36019.9
5	3643.07	7387.48	12089.9	14918	22486.7	31952.2
6	896.588	3193.95	6080.08	7817.82	12459.6	18264.4
7	4944.41	9272.85	14707.1	17980.8	26729.4	37677.3
8	5861.56	11066.3	17592.1	21520	32007.7	45117.4
9	2298.62	5811.12	10223.9	12884.9	20002.8	28906.3
10	4675.19	8699.17	13761.9	16808.3	24947.7	35121.6
11	1388.22	4056.06	7402.87	9416.33	14797.2	21529
12	-1044.59	1287.08	4206.9	5963.39	10665.7	16551.3
