1	3101.54	6560.65	1928.9	2411.13	21170.1
2	2917.27	5068.86	1814.3	2267.88	14949.1
3	4047.22	6852.87	2517.04	3146.3	15471.4
4	5060.03	5749.67	3146.92	3933.66	15320.5
5	4462.28	3765.35	2775.17	3468.96	13312.6
6	2743.87	2434.24	1706.47	2133.08	11142.2
7	5176.53	4238.7	3219.38	4024.22	14032.2
8	6189.81	3072.9	3849.55	4811.94	16191
9	4205.08	3543.93	2615.21	3269.02	14624.1
10	4798.07	2673.48	2984.01	3730.01	12952.8
11	3177.93	4380.1	1976.41	2470.51	12186.8
12	2774.72	6791.12	1725.65	2157.06	14751.8
