6.16667	-8.67536	6.47602	29.6454	41.1957	74.9908	121.688
6.25	-8.34817	7.20236	30.8724	42.7242	77.3253	125.03
6.33333	-7.71907	8.34607	32.6627	44.9031	80.5423	129.544
6.41667	-7.32556	9.12303	33.9211	46.4506	82.8635	132.832
6.5	-6.77006	10.0764	35.3731	48.2026	85.4165	136.387
6.58333	-6.69725	10.4319	36.085	49.1299	86.9196	138.61
6.66667	-6.3661	11.1839	37.3652	50.7285	89.37	142.126
6.75	-5.94675	12.0243	38.7343	52.416	91.9081	145.727
6.83333	-5.53899	12.8123	39.9998	53.9688	94.2281	149.006
6.91667	-5.48504	13.1017	40.5848	54.7316	95.4673	150.841
7	-5.46115	13.4055	41.2395	55.5977	96.8978	152.977
7.08333	-5.6481	13.5402	41.7814	56.3844	98.3382	155.235
7.16667	-5.61709	13.857	42.456	57.2743	99.8035	157.419
7.25	-5.53837	14.241	43.2231	58.2724	101.42	159.808
7.33333	-5.35633	14.7671	44.1817	59.4913	103.335	162.594
7.41667	-4.87478	15.6687	45.6089	61.2343	105.922	166.237
7.5	-4.47365	16.4149	46.7876	62.6737	108.057	169.243
7.58333	-4.10889	17.1673	48.0254	64.2034	110.367	172.527
7.66667	-3.39248	18.452	50.0236	66.631	113.941	177.533
7.75	-2.96503	19.3069	51.4147	68.345	116.518	181.189
7.83333	-2.81753	19.742	52.2109	69.3582	118.111	183.507
7.91667	-2.61065	20.2407	53.0765	70.4446	119.789	185.925
8	-2.6474	20.4601	53.6172	71.1791	121.042	187.826
8.08333	-2.73894	20.7299	54.3451	72.1827	122.782	190.487
8.16667	-2.61333	21.1772	55.1957	73.276	124.524	193.039
8.25	-2.13705	22.1116	56.7056	75.1324	127.305	196.978
8.33333	-1.59653	23.1322	58.3281	77.1166	130.255	201.135
8.41667	-1.20564	23.9046	59.5789	78.6549	132.562	204.403
8.5	-1.02102	24.3531	60.3595	79.6355	134.077	206.586
8.58333	-0.689645	25.0627	61.5435	81.1048	136.309	209.771
8.66667	-0.232907	25.99	63.0619	82.9792	139.134	213.787
8.75	0.134711	26.756	64.3281	84.5462	141.505	217.162
8.83333	0.442142	27.4062	65.4083	85.8848	143.535	220.055
8.91667	0.552696	27.7722	66.0947	86.7638	144.929	222.093
9	0.530824	28.0133	66.6656	87.5334	146.23	224.06
9.08333	0.171835	27.9109	66.8876	87.9509	147.171	225.657
9.16667	0.0894291	28.073	67.357	88.6054	148.32	227.425
9.25	0.251931	28.5744	68.2849	89.7901	150.191	230.154
9.33333	0.640076	29.3886	69.6338	91.4607	152.72	233.756
9.41667	1.00438	30.1274	70.8427	92.9525	154.969	236.951
9.5	1.09404	30.4468	71.4508	93.7343	156.215	238.778
9.58333	1.58848	31.374	72.9215	95.5323	158.888	242.546
9.66667	2.17464	32.4807	74.6807	97.6844	162.089	247.057
9.75	2.4045	33.0618	75.7031	98.9728	164.089	249.948
9.83333	2.87202	33.9317	77.0792	100.654	166.584	253.46
9.91667	3.01084	34.3373	77.8195	101.595	168.064	255.613
10	2.90638	34.466	78.2402	102.192	169.13	257.268
